
C:\Users\Nick\Code\lolmath>python -m cProfile -s cumulative tests.py 
         1985685 function calls (1956127 primitive calls) in 3.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    3.417    3.417 tests.py:1(<module>)
        1    0.000    0.000    3.268    3.268 tests.py:13(main)
        3    0.005    0.002    2.966    0.989 tests.py:19(test_itemsets)
      532    0.099    0.000    2.110    0.004 item.py:18(__init__)
      532    0.015    0.000    2.010    0.004 item.py:24(_set_api_data)
      758    0.003    0.000    1.963    0.003 __init__.py:257(load)
      758    0.001    0.000    1.648    0.002 __init__.py:293(loads)
      758    0.003    0.000    1.647    0.002 decoder.py:361(decode)
      758    1.641    0.002    1.641    0.002 decoder.py:372(raw_decode)
       36    0.001    0.000    1.429    0.040 tests.py:105(test_two_items)
       27    0.001    0.000    1.280    0.047 tests.py:116(test_three_items)
       75    0.001    0.000    1.052    0.014 tests.py:138(test)
      225    0.009    0.000    0.888    0.004 tests.py:149(print_matchup)
    21825    0.028    0.000    0.517    0.000 champion.py:395(def_factor)
      126    0.000    0.000    0.494    0.004 item.py:167(__init__)
     3375    0.005    0.000    0.441    0.000 champion.py:335(apply_spell_mult)
      900    0.003    0.000    0.439    0.000 kindred.py:81(total_DPS)
     3375    0.028    0.000    0.435    0.000 champion.py:337(<dictcomp>)
112222/93310    0.088    0.000    0.348    0.000 {map}
    21825    0.054    0.000    0.333    0.000 champion.py:399(AR_factor)
      758    0.312    0.000    0.312    0.000 {method 'read' of 'file' objects}
   108984    0.059    0.000    0.309    0.000 champion.py:107(get_ext_stat)
       77    0.000    0.000    0.309    0.004 item.py:173(__init__)
      450    0.002    0.000    0.304    0.001 champion.py:432(time_to_kill)
       75    0.000    0.000    0.300    0.004 item.py:210(__init__)
     1800    0.015    0.000    0.269    0.000 champion.py:361(AA_dmg)
       63    0.000    0.000    0.253    0.004 item.py:216(__init__)
       12    0.000    0.000    0.252    0.021 tests.py:95(test_one_item)
       63    0.000    0.000    0.251    0.004 item.py:204(__init__)
     1350    0.004    0.000    0.219    0.000 champion.py:379(AA_DPS)
     1125    0.010    0.000    0.206    0.000 kindred.py:42(w)
     2250    0.011    0.000    0.202    0.000 kindred.py:11(onhit)
      225    0.002    0.000    0.183    0.001 champion.py:386(AA_stats)
      900    0.005    0.000    0.162    0.000 kindred.py:84(total_burst)
     1125    0.007    0.000    0.162    0.000 kindred.py:62(e)
     1125    0.007    0.000    0.157    0.000 kindred.py:24(q)
      225    0.000    0.000    0.152    0.001 tests.py:146(<lambda>)
        1    0.008    0.008    0.145    0.145 champion.py:1(<module>)
    21825    0.032    0.000    0.144    0.000 champion.py:408(MR_factor)
   280620    0.058    0.000    0.137    0.000 champion.py:109(<lambda>)
      675    0.002    0.000    0.125    0.000 pprint.py:61(pformat)
      675    0.001    0.000    0.122    0.000 pprint.py:120(pformat)
 3600/675    0.017    0.000    0.121    0.000 pprint.py:132(_format)
     2250    0.010    0.000    0.114    0.000 champion.py:347(onhit)
       27    0.000    0.000    0.108    0.004 item.py:224(__init__)
       27    0.000    0.000    0.106    0.004 item.py:197(__init__)
    22275    0.017    0.000    0.104    0.000 champion.py:232(MR)
    48861    0.070    0.000    0.103    0.000 damage.py:30(__mul__)
    63309    0.077    0.000    0.101    0.000 champion.py:88(base)
      226    0.002    0.000    0.095    0.000 champion.py:15(__init__)
   354239    0.091    0.000    0.093    0.000 {getattr}
     6525    0.005    0.000    0.093    0.000 pprint.py:224(_repr)
    21900    0.013    0.000    0.091    0.000 champion.py:161(perc_APen)
    21900    0.020    0.000    0.091    0.000 champion.py:153(flat_APen)
      226    0.006    0.000    0.089    0.000 champion.py:44(_set_api_data)
     6525    0.003    0.000    0.087    0.000 pprint.py:233(format)
12375/6525    0.044    0.000    0.084    0.000 pprint.py:243(_safe_repr)
       21    0.000    0.000    0.083    0.004 item.py:158(__init__)
        1    0.001    0.001    0.072    0.072 riot.py:1(<module>)
       16    0.000    0.000    0.063    0.004 item.py:96(__init__)
    22275    0.014    0.000    0.059    0.000 champion.py:216(bonus_AR)
        1    0.002    0.002    0.059    0.059 __init__.py:42(<module>)
       15    0.000    0.000    0.059    0.004 item.py:66(__init__)
    22275    0.013    0.000    0.055    0.000 champion.py:226(bonus_MR)
      760    0.054    0.000    0.054    0.000 {open}
   105678    0.053    0.000    0.053    0.000 damage.py:4(__init__)
     7050    0.006    0.000    0.050    0.000 champion.py:126(AD)
        1    0.005    0.005    0.047    0.047 httplib.py:67(<module>)
      806    0.002    0.000    0.043    0.000 genericpath.py:26(isfile)
       10    0.000    0.000    0.041    0.004 item.py:85(__init__)
      806    0.040    0.000    0.040    0.000 {nt.stat}
        9    0.000    0.000    0.035    0.004 item.py:125(__init__)
     6459    0.005    0.000    0.033    0.000 champion.py:186(HP)
        1    0.001    0.001    0.032    0.032 __init__.py:21(<module>)
        1    0.001    0.001    0.031    0.031 __init__.py:3(<module>)
     7350    0.006    0.000    0.030    0.000 kindred.py:101(bonus_AR)
        1    0.004    0.004    0.030    0.030 connectionpool.py:1(<module>)
       75    0.000    0.000    0.029    0.000 kindred.py:98(__init__)
   108984    0.019    0.000    0.028    0.000 {sum}
     7050    0.005    0.000    0.025    0.000 champion.py:120(bonus_AD)
        1    0.003    0.003    0.025    0.025 mimetools.py:1(<module>)
    17361    0.015    0.000    0.023    0.000 damage.py:15(__add__)
      128    0.001    0.000    0.023    0.000 re.py:230(_compile)
       53    0.000    0.000    0.023    0.000 re.py:192(compile)
       51    0.000    0.000    0.022    0.000 sre_compile.py:567(compile)
        1    0.003    0.003    0.022    0.022 utils.py:10(<module>)
        1    0.004    0.004    0.022    0.022 tempfile.py:18(<module>)
      532    0.020    0.000    0.020    0.000 item.py:8(get_by_name)
     6459    0.004    0.000    0.017    0.000 champion.py:180(bonus_HP)
        2    0.001    0.001    0.017    0.009 request.py:1(<module>)
        1    0.002    0.002    0.017    0.017 random.py:40(<module>)
        1    0.001    0.001    0.014    0.014 filepost.py:1(<module>)
    55800    0.014    0.000    0.014    0.000 {method 'write' of 'cStringIO.StringO' objects}
        1    0.003    0.003    0.013    0.013 compat.py:5(<module>)
    10811    0.004    0.000    0.013    0.000 {repr}
     2550    0.005    0.000    0.013    0.000 champion.py:130(bonus_AS)
    52/51    0.000    0.000    0.013    0.000 sre_parse.py:686(parse)
   212/52    0.001    0.000    0.012    0.000 sre_parse.py:310(_parse_sub)
   299/54    0.005    0.000    0.012    0.000 sre_parse.py:388(_parse)
        1    0.001    0.001    0.012    0.012 inspect.py:25(<module>)
        1    0.000    0.000    0.011    0.011 random.py:91(__init__)
        1    0.000    0.000    0.011    0.011 random.py:100(seed)
        1    0.010    0.010    0.011    0.011 socket.py:45(<module>)
        1    0.007    0.007    0.011    0.011 __init__.py:24(<module>)
     1425    0.001    0.000    0.010    0.000 champion.py:141(AS)
    42390    0.010    0.000    0.010    0.000 damage.py:8(__getitem__)
     5850    0.004    0.000    0.009    0.000 damage.py:60(__repr__)
       51    0.000    0.000    0.009    0.000 sre_compile.py:552(_code)
       75    0.003    0.000    0.009    0.000 champion.py:287(statblock)
     1350    0.003    0.000    0.009    0.000 pprint.py:77(_sorted)
        1    0.009    0.009    0.009    0.009 {nt.urandom}
    21900    0.008    0.000    0.008    0.000 champion.py:262(flat_MPen)
    13872    0.008    0.000    0.008    0.000 champion.py:416(get_item)
        1    0.001    0.001    0.008    0.008 tokenize.py:23(<module>)
        2    0.000    0.000    0.008    0.004 item.py:141(__init__)
   605/51    0.003    0.000    0.007    0.000 sre_compile.py:64(_compile)
    64359    0.007    0.000    0.007    0.000 {pow}
        1    0.002    0.002    0.007    0.007 __init__.py:99(<module>)
        1    0.002    0.002    0.007    0.007 fields.py:1(<module>)
     6975    0.007    0.000    0.007    0.000 damage.py:57(__str__)
     3600    0.001    0.000    0.007    0.000 champion.py:145(crit_chance)
        1    0.001    0.001    0.006    0.006 cookielib.py:26(<module>)
        2    0.002    0.001    0.006    0.003 connection.py:1(<module>)
       11    0.005    0.000    0.006    0.001 collections.py:293(namedtuple)
        1    0.001    0.001    0.006    0.006 uuid.py:45(<module>)
33553/33542    0.005    0.000    0.005    0.000 {issubclass}
     1620    0.001    0.000    0.005    0.000 damage.py:21(__radd__)
        1    0.001    0.001    0.004    0.004 decoder.py:2(<module>)
        1    0.002    0.002    0.004    0.004 __init__.py:2(<module>)
        1    0.004    0.004    0.004    0.004 hashlib.py:56(<module>)
        1    0.000    0.000    0.004    0.004 item.py:148(__init__)
        1    0.002    0.002    0.004    0.004 utils.py:5(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
        1    0.000    0.000    0.004    0.004 urlparse.py:29(<module>)
     3029    0.001    0.000    0.003    0.000 sre_parse.py:210(get)
        1    0.003    0.003    0.003    0.003 collections.py:1(<module>)
     3521    0.003    0.000    0.003    0.000 sre_parse.py:191(__next)
        1    0.001    0.001    0.003    0.003 ssl.py:88(<module>)
     1516    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.002    0.002    0.003    0.003 __init__.py:4(<module>)
      288    0.001    0.000    0.003    0.000 sre_compile.py:228(_compile_charset)
      450    0.000    0.000    0.003    0.000 champion.py:222(AR)
    47250    0.002    0.000    0.002    0.000 {method 'isalpha' of 'str' objects}
        1    0.000    0.000    0.002    0.002 Cookie.py:203(<module>)
     1125    0.002    0.000    0.002    0.000 damage.py:39(__div__)
    21900    0.002    0.000    0.002    0.000 champion.py:268(perc_MPen)
    21825    0.002    0.000    0.002    0.000 champion.py:167(perc_bonus_APen)
        1    0.002    0.002    0.002    0.002 {function seed at 0x02AA4030}
       51    0.000    0.000    0.002    0.000 sre_compile.py:433(_compile_info)
      288    0.001    0.000    0.002    0.000 sre_compile.py:256(_optimize_charset)
      758    0.002    0.000    0.002    0.000 riot.py:144(__init__)
     1351    0.002    0.000    0.002    0.000 {sorted}
      630    0.001    0.000    0.002    0.000 damage.py:36(__rmul__)
        1    0.001    0.001    0.002    0.002 urllib.py:23(<module>)
        3    0.000    0.000    0.002    0.001 __init__.py:71(search_function)
        2    0.000    0.000    0.002    0.001 util.py:49(find_library)
